"intent","user_query","bot_response"
"greeting","Hi","Hello! Welcome to Sweet Haven Bakery. How can I help you today?"
"greeting","Hello","Hi there! Thanks for reaching out. What can I assist you with?"
"greeting","Good morning","Good day! Welcome to Sweet Haven Bakery. What would you like to know?"
"greeting","Hey there","Hello! Welcome to Sweet Haven Bakery. How can I help you today?"
"greeting","Hi I need some help","Hi there! Thanks for reaching out. What can I assist you with?"
"greeting","Good afternoon","Good afternoon! Welcome to Sweet Haven Bakery. How may I assist you?"
"greeting","Good evening","Good evening! How can I help you today?"
"greeting","Hey","Hello! What can I do for you today?"
"greeting","Greetings","Welcome to Sweet Haven Bakery! How can I help?"
"greeting","Hi there","Hi! What brings you to Sweet Haven Bakery today?"
"greeting","Hello there","Hello! How can I assist you?"
"greeting","Howdy","Hi there! Welcome to Sweet Haven Bakery. What can I help you with?"
"greeting","What's up","Hello! What can I help you with today?"
"greeting","Yo","Hi! How can I assist you at Sweet Haven Bakery?"
"greeting","Hiya","Hello! What can I do for you today?"
"store_hours","What time do you open?","We're open Monday through Saturday from 7:00 AM to 7:00 PM and Sunday from 8:00 AM to 5:00 PM."
"store_hours","When do you close?","We're open Monday through Saturday from 7:00 AM to 7:00 PM and Sunday from 8:00 AM to 5:00 PM."
"store_hours","What are your hours?","""Our hours are 7 AM - 7 PM Monday-Saturday, and 8 AM - 5 PM on Sundays. Looking forward to seeing you!"""
"store_hours","Are you open right now?","We're open Monday through Saturday from 7:00 AM to 7:00 PM and Sunday from 8:00 AM to 5:00 PM."
"store_hours","What time does the bakery open on Sunday?","""We open at 8:00 AM on Sundays and close at 5:00 PM. Monday-Saturday, we're open 7 AM - 7 PM."""
"store_hours","Are you open on weekends?","""Yes! We're open Saturday 7 AM - 7 PM and Sunday 8 AM - 5 PM."""
"store_hours","Are you open late?","We're open until 7:00 PM Monday-Saturday and until 5:00 PM on Sundays."
"store_hours","What time do you close on Saturday?","We close at 7:00 PM on Saturdays."
